"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","AJ Johnson","Was","","G","21.3","25","8.6","20.7","17.8","12","0.75","58","0.345","25","0.28","0.367","0.396","2.8","1.2","0.9","0.3","0","0.7","4","3.7","4.9","6.7","82.7","120.1"
"","Norchad Omier","Lac","*","F","24.5","3","4.7","15.6","0","0","0","4","1","1","0","0.8","0.8","2.7","1.3","0.3","0.3","0","0","4","3","4.3","8.7","176.7","102"
"","Jamal Cain","Orl","*","F","27","23","6.7","17.7","12.4","18","0.833","26","0.385","23","0.391","0.48","0.545","2.7","0.7","0.3","0.2","0","0.3","3.4","3","3.7","4.9","110.6","102.8"
"","Jae'Sean Tate","Hou","*","F","30.4","34","8.4","13.3","11.3","7","0.571","54","0.593","24","0.333","0.564","0.567","2.7","1.4","0.5","0.3","0.1","0.3","4.1","3.2","4.6","5.9","121.4","104.9"
"","Guerschon Yabusele","Nyk","","F","30.2","41","8.9","14.8","12.3","12","0.667","39","0.564","68","0.294","0.486","0.499","2.7","2.1","0.4","0.1","0.1","0.4","4.9","3.2","5.3","5.9","106.8","106"
"","Christian Koloko","Mem","","C","25.7","11","17.7","9.3","16.6","4","0.25","34","0.412","1","0","0.4","0.394","2.6","4","0.9","0.9","1.2","0.6","6.6","3.5","7.5","4.8","100","108.7"
"","Jonathan Isaac","Orl","*","F","28.4","51","10.2","12.4","14.3","58","0.603","70","0.557","38","0.184","0.458","0.502","2.6","2.6","0.4","0.4","0.6","0.4","5.2","3.1","5.6","5.5","111","107.4"
"","Alijah Martin","Tor","*","G","24.2","16","6.4","18.8","10.4","16","0.813","20","0.45","14","0.214","0.397","0.487","2.5","0.9","0.5","0.4","0.2","0.3","3.4","3","3.9","6.5","108.6","106.5"
"","Gary Harris","Mil","*","G","31.5","42","13.9","7.8","16.1","9","0.889","29","0.517","54","0.407","0.578","0.598","2.5","1.3","1","0.5","0.2","0.4","3.8","3.5","4.9","4.3","120.8","115.7"
"","Julian Phillips","Min","*","F","22.3","7","4.3","19.3","8.7","6","1","6","0.667","4","0.25","0.55","0.672","2.4","0.3","0.1","0.6","0.1","0.1","2.7","2.6","2.9","3.9","132.7","111"
"","TyTy Washington Jr.","Lac","*","G","24.3","8","6.5","14.5","17.6","0","0","7","0.714","7","0.429","0.679","0.679","2.4","0.3","1.4","0.5","0.3","0.4","2.6","3.8","4","6.2","133","112.7"
"","Jeff Green","Hou","*","F","39.5","24","5.2","17.6","1.9","3","1","16","0.563","34","0.353","0.54","0.555","2.4","0.7","0.2","0","0","0","3","2.5","3.2","5.3","125.4","114.8"
"","Amir Coffey","Mil","","G-F","28.7","30","8.8","10.9","6.7","15","0.867","30","0.633","25","0.28","0.536","0.584","2.4","0.9","0.4","0.1","0.1","0.1","3.3","2.8","3.6","4.3","122.2","120"
"","Patrick Baldwin Jr.","Sac","*","F","23.3","4","10.9","15.3","14.1","4","0.5","6","0.333","6","0.167","0.292","0.327","2.3","2.8","0.5","0.5","0.8","0.5","5","2.8","5.5","5.4","88.6","106.8"
"","Luke Travers","Cle","*","F","24.5","12","8.6","17.5","7.6","9","1","20","0.4","16","0.063","0.264","0.35","2.3","2","0.8","0.6","0.3","0.3","4.3","3.1","5.1","7.2","96","110.2"
"","Leonard Miller","Min","","F","22.3","19","5","20.8","21.3","11","0.636","21","0.81","12","0.083","0.561","0.581","2.3","1.3","0.3","0.2","0","0.5","3.6","2.6","3.9","7.7","104.1","102.6"
"","Chris Boucher","Bos","*","F","33.2","9","10.5","12.8","3.8","4","0.75","10","0.6","15","0.133","0.36","0.392","2.3","2","0.3","0.6","0.8","0.1","4.3","2.7","4.7","4.2","94.4","93.3"
"","Tristan Enaruna","Cle","*","F","24.7","5","5.5","19.1","8.3","1","0","7","0.571","4","0.25","0.5","0.481","2.2","1.6","0.6","0","0","0.2","3.8","2.8","4.4","9.3","119.2","121.7"
"","Maxi Kleber","Lal","*","F","34.1","35","11","9.4","17.7","22","0.636","38","0.579","22","0.273","0.517","0.545","2.2","1.9","0.6","0.4","0.3","0.4","4.1","2.8","4.7","4.9","119.8","106.4"
"","Hunter Tyson","Den","*","F","25.7","21","7.7","16.9","8.7","13","0.846","19","0.368","33","0.212","0.337","0.398","2.2","1.7","0.8","0.1","0","0.2","3.9","3","4.7","7.5","95.9","110.9"
"","JD Davison","Hou","*","G","23.4","25","7.3","14.9","11.4","9","0.556","26","0.5","28","0.286","0.463","0.474","2.2","0.9","1.1","0.2","0.2","0.3","3.1","3.3","4.2","7.1","112.1","108.9"
"","Tyson Etienne","Bro","*","G","20","10","5.1","22","11.9","2","0.5","3","0","19","0.368","0.477","0.481","2.2","0","0.5","0","0","0.3","2.2","2.7","2.7","0","94.7","109.4"
"","Khaman Maluach","Pho","*","C","19.5","30","6.8","15.9","28","13","0.692","40","0.625","11","0.182","0.549","0.573","2.2","1.9","0.1","0.1","0.6","0.7","4.1","2.3","4.2","4.4","98.7","104.8"
"","Yang Hansen","Por","*","C","20.7","38","7.3","20","24.3","29","0.828","53","0.434","40","0.125","0.328","0.402","2.2","1.5","0.6","0.1","0.2","0.8","3.8","2.8","4.3","6.9","82.8","105.6"
"","Xavier Tillman","Bos","","F","27.2","14","8","14","13.9","0","0","16","0.688","15","0.2","0.5","0.5","2.2","1.8","0.4","0.4","0.1","0.4","4","2.6","4.4","5.8","108.2","106.7"
"","Lindy Waters III","San","*","F","28.6","34","6.5","13.6","7","1","1","8","0.625","58","0.345","0.53","0.534","2.1","0.6","0.4","0.1","0","0.1","2.7","2.5","3.1","4.9","110.9","108.6"
"","Bronny James","Lal","*","G","21.4","32","7","15.4","18.1","5","0.8","34","0.382","29","0.414","0.492","0.506","2.1","0.5","1.2","0.3","0.1","0.4","2.5","3.3","3.7","6.2","106.6","113.5"
"","Charles Bassey","Phi","*","C-F","25.4","1","4.6","9.2","0","0","0","1","1","0","0","1","1","2","0","0","0","1","0","2","2","2","0","200","125.9"
"","Keshon Gilbert","Was","*","G","22.7","3","16.1","10.2","57.5","4","1","2","0.5","2","0","0.25","0.521","2","1.7","1","0.7","1.3","2","3.7","3","4.7","3.7","72.4","122"
"","Malevy Leons","Gol","*","F","26.5","12","7.3","12.4","12.9","6","0.667","13","0.538","7","0.286","0.5","0.53","2","2","0.5","0.4","0.3","0.3","4","2.5","4.5","6.9","125.7","102.4"
"","Trentyn Flowers","Chi","*","F","21","2","2.8","30.1","25","0","0","2","1","1","0","0.667","0.667","2","0.5","0.5","0","0","0.5","2.5","2.5","3","11.3","0","0"
"","Isaac Jones","Det","*","F","25.7","1","1.3","63.6","0","0","0","1","1","1","0","0.5","0.5","2","0","0","0","0","0","2","2","2","0","0","0"
"","Wendell Moore Jr.","Det","*","G","24.5","5","10.9","6.7","11.8","2","1","6","0.667","1","0","0.571","0.635","2","1.2","0.6","0.4","0.4","0.2","3.2","2.6","3.8","4.1","131.5","115"
"","E.J. Liddell","Bro","*","F","25.2","12","5.5","16.1","12.9","3","0.667","8","0.625","12","0.333","0.55","0.563","2","1.2","0.3","0.1","0.1","0.3","3.2","2.3","3.4","6.5","107.9","114.7"
"","Colby Jones","Det","*","G","23.8","1","6.8","18.2","0","0","0","1","1","2","0","0.333","0.333","2","4","2","0","0","0","6","4","8","14.8","105.5","85.7"
"","Isaiah Livers","Pho","*","F","27.6","32","10.3","10","16.4","12","0.75","22","0.455","39","0.308","0.459","0.49","2","1.9","0.7","0.4","0.2","0.4","3.9","2.7","4.6","5.4","109.6","109.9"
"","Johnny Juzang","Min","*","G","25","21","4.2","22.4","11.6","8","0.625","14","0.714","24","0.25","0.5","0.518","2","0.8","0.3","0.1","0","0.2","2.9","2.3","3.1","7.5","105.4","115.2"
"","Hunter Dickinson","Nor","*","C","25.3","1","4.7","35.4","50","0","0","2","0.5","0","0","0.5","0.5","2","0","0","0","1","2","2","2","2","0","42.9","82.5"
"","Chris Youngblood","Okc","*","G","24.1","32","5.4","16.5","3.2","10","0.9","9","0.444","51","0.314","0.467","0.505","2","0.9","0.3","0.1","0.1","0.1","2.9","2.4","3.3","6","114.5","101"
"","Mason Plumlee","Cha","","F-C","36","14","8.9","8.9","42.3","12","0.667","12","0.75","0","0","0.75","0.752","1.9","2.9","1.1","0.4","0","0.6","4.7","3","5.9","8.2","128.3","105.4"
"","Caleb Houstan","Atl","*","G","23.2","12","4.5","15.7","20.6","3","1","3","0.333","12","0.5","0.667","0.705","1.9","0.5","0.2","0.1","0.1","0.3","2.4","2.1","2.6","5.1","118.7","107.4"
"","PJ Hall","Mem","","C","24.1","7","3.8","17.6","9.7","3","0.667","6","0.667","3","0.333","0.611","0.63","1.9","1.3","0.3","0","0.3","0.1","3.1","2.1","3.4","9.5","0","0"
"","Jordan McLaughlin","San","*","G","29.9","33","5.9","16.2","16.4","5","0.8","29","0.414","32","0.375","0.492","0.506","1.9","0.6","0.7","0.4","0","0.4","2.6","2.7","3.3","6.3","102.3","109.2"
"","Ariel Hukporti","Nyk","*","C","23.9","47","8.9","10.1","30.9","28","0.75","56","0.571","4","0.25","0.558","0.608","1.9","2.8","0.5","0.2","0.5","0.6","4.7","2.4","5.2","6.2","116.2","100.7"
"","Trayce Jackson-Davis","Tor","*","F","26","8","4.8","19.3","8.2","12","0.5","11","0.364","0","0","0.364","0.43","1.8","2.9","0.5","0.3","0.3","0.1","4.6","2.3","5.1","11.5","132.7","114.1"
"","Kevin McCullar Jr.","Nyk","*","G","25","19","6.7","16.1","26","5","0.4","17","0.412","17","0.353","0.471","0.47","1.8","1.3","1","0.3","0","0.6","3.1","2.8","4.1","7.9","98.1","100.8"
"","Cody Martin","Ind","*","F","30.5","4","13.8","12.7","28.1","6","0.5","5","0.4","5","0","0.2","0.277","1.8","3.5","0.5","1","0.5","1","5.3","2.3","5.8","4.2","54.8","107.2"
"","Kyle Lowry","Phi","*","G","40","8","9","9.8","13.9","6","0.833","0","0","12","0.25","0.375","0.478","1.8","0.8","1.1","0.3","0.1","0.3","2.5","2.9","3.6","5.2","112.3","116.1"
"","Orlando Robinson","Orl","*","C","25.7","4","6.2","8.6","0","0","0","3","0.667","2","0.5","0.7","0.7","1.8","1","0.8","0.3","0","0","2.8","2.5","3.5","7.3","167.5","105.5"
"","Bobi Klintman","Det","*","F","23","11","6.3","20","18.8","3","0","13","0.308","13","0.308","0.385","0.366","1.8","1.6","0.5","0.3","0","0.5","3.5","2.4","4","7.2","80.3","95.5"
"","Harrison Ingram","San","*","F","23.3","5","3.5","12.2","0","0","0","4","0.75","1","1","0.9","0.9","1.8","0.6","0.2","0","0","0","2.4","2","2.6","6.9","0","0"
"","Tyus Jones","Den","*","G","29.8","3","8.4","19.7","27.3","1","0","3","0.333","5","0.2","0.313","0.296","1.7","0.7","1","0","0","1","2.3","2.7","3.3","5","58.7","123.9"
"","KJ Simpson","Den","*","G","23.6","3","7.6","15","0","2","0.5","7","0.286","0","0","0.286","0.317","1.7","1.7","2.7","0.3","0","0","3.3","4.3","6","10.4","128.4","116.4"
"","Jahmir Young","Mia","*","G","25.4","10","4.7","19.3","8.9","1","1","13","0.385","7","0.286","0.4","0.416","1.7","0.4","0.6","0.1","0","0.2","2.1","2.3","2.7","6.3","96.3","108.7"
"","Jacob Toppin","Atl","*","F","25.8","5","3.4","14.8","0","0","0","6","0.667","0","0","0.667","0.667","1.6","0.4","0.2","0","0.2","0","2","1.8","2.2","5.9","0","0"
"","Buddy Boeheim","Okc","*","F","26.3","4","3.8","17.3","0","0","0","0","0","6","0.333","0.5","0.5","1.5","0","0","0","0","0","1.5","1.5","1.5","0","0","0"
"","Curtis Jones","Den","*","G","24.4","6","5.1","21.2","6.7","0","0","5","0.6","9","0.111","0.321","0.321","1.5","0.8","0.5","0","0","0.2","2.3","2","2.8","6.6","79","111.8"
"","Adou Thiero","Lal","*","G","21.8","19","5.5","12.7","19","10","0.8","20","0.5","1","0","0.476","0.551","1.5","1.1","0.3","0.3","0.1","0.3","2.5","1.8","2.8","5.8","114.4","103.5"
"","Dillon Jones","Nyk","*","F","24.4","5","4.8","12.1","0","4","1","2","0","3","0.333","0.3","0.518","1.4","1.2","0.8","0.4","0","0","2.6","2.2","3.4","9.2","151.2","93.9"
"","Isaiah Crawford","Hou","*","F","24.4","11","6.1","10.6","13","4","0.75","5","0.6","8","0.25","0.462","0.508","1.4","0.9","0.4","0.2","0.3","0.2","2.3","1.7","2.6","5.2","112.8","113.3"
"","Brooks Barnhizer","Okc","*","G","24","33","7.8","10.1","13.7","6","0.667","33","0.424","17","0.294","0.43","0.446","1.4","1.7","0.5","0.2","0.1","0.2","3.2","2","3.7","5.4","102.5","102.8"
"","Dalano Banton","Bos","*","F","26.3","3","5.2","19.3","15.5","2","1","5","0.2","0","0","0.2","0.34","1.3","0","0.7","0","0.3","0.3","1.3","2","2","0","82","116.8"
"","Rocco Zikarsky","Min","*","C","19.7","3","4.8","5.8","0","0","0","2","1","0","0","1","1","1.3","1.3","0","0","0.7","0","2.7","1.3","2.7","0","212.9","110.3"
"","Jeremy Sochan","Nyk","*","F","22.8","10","5.3","11.9","14.1","2","0.5","9","0.667","3","0","0.5","0.505","1.3","1.2","0.5","0.5","0.1","0.2","2.5","1.8","3","6.9","109.7","103.2"
"","Lachlan Olbrich","Chi","*","C","22.2","22","6.7","10.8","15.1","10","0.4","20","0.45","8","0.25","0.429","0.432","1.3","2.1","0.7","0.2","0","0.2","3.4","2","4.1","7.4","114.9","101.2"
"","Nigel Hayes-Davis","Pho","*","F","31.2","27","7.2","12.1","14.8","4","0.5","30","0.433","16","0.125","0.348","0.356","1.3","1.2","0.3","0.3","0.1","0.3","2.5","1.5","2.7","4.3","83.7","110.3"
"","Thanasis Antetokounmpo","Mil","*","F","33.6","25","3.2","17.4","17.2","20","0.6","17","0.588","2","0","0.526","0.576","1.3","0.7","0.2","0.4","0.2","0.2","2","1.4","2.2","7.1","0","0"
"","Andre Jackson Jr.","Mil","*","G","24.3","34","6","16.5","18","10","0.9","25","0.32","34","0.176","0.288","0.339","1.3","1","0.8","0.2","0.1","0.4","2.3","2.1","3.1","6.8","88","108.7"
"","Javonte Cooke","Por","*","G","26.7","19","4.9","22","17.8","2","1","18","0.333","23","0.13","0.256","0.275","1.2","1","0.4","0.3","0","0.5","2.2","1.6","2.6","6.4","63.3","111"
"","Amari Williams","Bos","*","F-C","24.1","18","6.6","10.3","30.1","12","0.667","16","0.438","0","0","0.438","0.517","1.2","1.7","0.4","0.1","0.5","0.4","2.9","1.7","3.3","5.7","104.4","101.2"
"","Jonathan Mogbo","Tor","*","F","24.4","26","6.1","10.8","23.6","5","0.4","29","0.517","0","0","0.517","0.513","1.2","1.5","0.5","0.2","0.2","0.3","2.8","1.7","3.3","6.3","105.7","106"
"","Pacome Dadiet","Nyk","*","F","20.6","22","3.6","12.6","4.7","6","1","7","0.429","13","0.308","0.45","0.53","1.1","0.8","0.4","0.1","0","0","1.9","1.5","2.3","7.8","0","0"
"","David Roddy","Den","*","F","25","2","6.1","13.9","0","2","1","0","0","3","0","0","0.258","1","2","1","0.5","0","0","3","2","4","8.3","103","96.3"
"","Stanley Umude","San","*","G","26.9","2","3.3","12.8","0","0","0","1","1","1","0","0.5","0.5","1","0","0.5","0.5","0","0","1","1.5","1.5","0","0","0"
"","Vladislav Goldin","Mia","*","C","24.8","4","2.9","14.1","25","0","0","3","0.667","0","0","0.667","0.667","1","1","0.5","0","0.3","0.3","2","1.5","2.5","10.9","0","0"
"","Hunter Sallis","Phi","*","G","23","7","3.7","17.9","48.9","2","0.5","5","0.6","0","0","0.6","0.595","1","0.1","0.6","0","0.1","0.7","1.1","1.6","1.7","4.2","0","0"
"","Isaac Jones","Sac","","F","25.7","3","5.6","7.2","0","2","0.5","1","1","1","0","0.5","0.521","1","0.7","0.3","0","0","0","1.7","1.3","2","4.2","145.3","104.7"
"","Dario Saric","Sac","*","F-C","31.9","5","8.3","9.1","23.7","2","1","3","0","3","0.333","0.25","0.363","1","1.2","0.4","0","0","0.4","2.2","1.4","2.6","3.8","77.6","119.2"
"","Johni Broome","Phi","*","F","23.6","11","5","22.9","11.1","6","0.333","19","0.211","5","0","0.167","0.188","0.9","1.5","0.4","0.3","0.2","0.3","2.4","1.3","2.7","6.5","62.1","104"
"","Drew Peterson","Cha","*","F","26.3","6","10.7","11.1","0","2","0.5","4","0.5","12","0","0.125","0.148","0.8","1.5","0.3","0.5","0.2","0","2.3","1.2","2.7","2.7","57.9","113.5"
"","N'Faly Dante","Atl","*","C","24.4","4","3.9","14.7","18.4","1","1","4","0.25","0","0","0.25","0.338","0.8","1.8","0","0.5","0","0.3","2.5","0.8","2.5","0","0","0"
"","Bismack Biyombo","San","*","C","33.5","19","5.7","6.7","39.1","5","0.8","9","0.667","0","0","0.667","0.714","0.8","0.8","0.3","0.2","0.1","0.3","1.7","1.1","1.9","4","109.8","94.9"
"","Trey Jemison","Nyk","*","C","26.3","11","5.5","9.3","44.6","1","1","7","0.571","0","0","0.571","0.605","0.8","1.5","0.3","0.1","0.2","0.5","2.3","1.1","2.5","5.2","99.4","101.6"
"","John Tonje","Bos","*","G","24.9","3","3.7","11.4","0","2","1","0","0","2","0","0","0.347","0.7","0.7","0.3","0","0","0","1.3","1","1.7","5.7","0","0"
"","Xavier Tillman","Cha","*","F","27.2","8","4","10.5","12.5","0","0","5","0.4","2","0","0.286","0.286","0.5","1.3","0.4","0","0.1","0.1","1.8","0.9","2.1","6.4","109","110.3"
"","Joe Ingles","Min","*","F-G","38.4","22","4.1","8.4","45.9","2","1","3","0.667","6","0.333","0.556","0.607","0.5","0.3","0.9","0.3","0","0.4","0.9","1.5","1.8","5","106.6","110.3"
"","Garrett Temple","Tor","*","G-F","39.8","16","2.9","12.8","26.6","6","0.667","2","0","6","0.167","0.188","0.329","0.4","0.3","0.3","0.2","0.1","0.2","0.8","0.7","1","4.6","0","0"
"","Chris Manon","Lal","*","G","24.3","6","4.2","6.7","29.1","2","1","0","0","2","0","0","0.347","0.3","1","0.2","0.5","0.3","0.2","1.3","0.5","1.5","3.7","86.3","91.2"
"","Jahmyl Telfort","Lac","*","G","24.9","8","4","9.4","19.6","4","0.25","0","0","4","0","0","0.087","0.1","0.4","0.1","0.1","0","0.1","0.5","0.3","0.6","1.6","26.5","104.1"
"","Mason Plumlee","San","*","F-C","36","1","0.7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Jalen Slawson","Ind","*","F","26.4","1","10.9","7.7","0","0","0","0","0","2","0","0","0","0","3","3","0","0","0","3","3","6","0","75.2","110.2"
"","Riley Minix","Cle","*","F","25.5","1","3.8","11","100","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"","John Poulakidas","Dal","*","G","22.9","1","14.5","8.7","33.3","0","0","1","0","1","0","0","0","0","5","2","0","0","1","5","2","7","0","56.3","101.8"
"","Darius Brown","Cle","*","G","26.6","1","2.7","15.5","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Trevor Keels","Mia","*","G","22.5","4","1.2","33","0","0","0","1","0","3","0","0","0","0","0.5","0","0","0","0","0.5","0","0.5","0","0","0"
"","Patrick Baldwin Jr.","Phi","","F","23.3","1","2.3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Buddy Hield","Atl","*","G","33.2","1","4.6","18.1","50","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","125.9"
"","Enrique Freeman","Min","*","F","25.6","2","4","0","0","0","0","0","0","0","0","0","0","0","1.5","0","0","0.5","0","1.5","0","1.5","0","0","112.7"
"","Max Shulga","Bos","*","G","23.7","3","1.5","9.6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","RayJ Dennis","Atl","*","G","25","1","4.9","8.5","0","0","0","0","0","1","0","0","0","0","0","4","1","0","0","0","4","4","0","134.9","92.1"
"","Mo Bamba","Tor","","C","27.8","2","3","14.5","0","0","0","2","0","0","0","0","0","0","1","0","0","0.5","0","1","0","1","0","0","0"
"","RayJ Dennis","Lac","","G","25","1","3.5","12.7","100","0","0","0","0","0","0","0","0","0","2","0","0","0","1","2","0","2","0","0","0"
"","Chucky Hepburn","Tor","*","G","23.1","2","6.6","22.7","14.3","0","0","1","0","5","0","0","0","0","0.5","1","0.5","0","0.5","0.5","1","1.5","0","19.3","100.1"
"","Tosan Evbuomwan","Nyk","*","F","25.1","5","1.5","5.5","0","0","0","1","0","0","0","0","0","0","0.4","0","0","0","0","0.4","0","0.4","0","0","0"
"","Noa Essengue","Chi","*","F","19.2","2","3","21","0","0","0","1","0","2","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0"
"","Christian Koloko","Lal","","C","25.7","2","3.2","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0.5","0","0.5","0","0","0"

